状态,下单槽倒计时,槽Unix,市场,方向,入场价分,份数,扣款USD,策略,下单时间,结算时间,盈亏USD,平仓价分,浮动pct
止盈,01:44,1780214700,"XRP Up or Down - May 31, 4:05AM-4:10AM ET",DOWN,90,5.4945,5.0290,consensus90,2026/5/31 16:08:15,2026/5/31 16:08:49,+0.2732,97,+5.43
止盈,01:44,1780214700,"Solana Up or Down - May 31, 4:05AM-4:10AM ET",DOWN,96,5.1546,5.0091,consensus90,2026/5/31 16:08:15,2026/5/31 16:08:40,+0.0682,99,+1.36
止盈,01:44,1780214700,"Ethereum Up or Down - May 31, 4:05AM-4:10AM ET",DOWN,85,5.8139,5.0484,consensus90,2026/5/31 16:08:15,2026/5/31 16:08:32,+0.3294,93,+6.53
止盈,01:44,1780214700,"Hyperliquid Up or Down - May 31, 4:05AM-4:10AM E",DOWN,73,6.8493,5.0924,consensus90,2026/5/31 16:08:15,2026/5/31 16:08:32,+0.6611,84,+12.98
止盈,01:44,1780214700,"Dogecoin Up or Down - May 31, 4:05AM-4:10AM ET",DOWN,88,5.6179,5.0377,consensus90,2026/5/31 16:08:15,2026/5/31 16:08:31,+0.2712,95,+5.38
止盈,01:44,1780214700,"Bitcoin Up or Down - May 31, 4:05AM-4:10AM ET",DOWN,90,5.4945,5.0306,consensus90,2026/5/31 16:08:15,2026/5/31 16:08:30,+0.3266,98,+6.49
止盈,03:19,1780214400,"XRP Up or Down - May 31, 4:00AM-4:05AM ET",UP,90,5.4945,5.0290,consensus90,2026/5/31 16:01:40,2026/5/31 16:03:45,+0.2732,97,+5.43
止盈,03:19,1780214400,"Hyperliquid Up or Down - May 31, 4:00AM-4:05AM E",UP,92,5.3763,5.0234,consensus90,2026/5/31 16:01:40,2026/5/31 16:03:45,+0.2453,98,+4.88
止盈,03:19,1780214400,"Ethereum Up or Down - May 31, 4:00AM-4:05AM ET",UP,92,5.3763,5.0234,consensus90,2026/5/31 16:01:40,2026/5/31 16:03:05,+0.2722,99,+5.42
止损,03:15,1780214400,"Dogecoin Up or Down - May 31, 4:00AM-4:05AM ET",UP,77,6.4102,5.0769,consensus90,2026/5/31 16:01:44,2026/5/31 16:02:44,-1.4231,57,-28.03
